position,sample,stable.control,stable.temp,duration,start,end,density
A1,50_20_A,50,50,125,20,145,8000
A2,100_20_A,50,50,125,20,145,8000
A3,200_20_A,50,50,125,20,145,8000
A4,50_25_A,50,50,125,20,145,8000
A5,100_25_A,50,50,125,20,145,8000
A6,200_25_A,50,50,125,20,145,8000
B1,50_20_B,50,50,125,20,145,8000
B2,100_20_B,50,50,125,20,145,8000
B3,200_20_B,50,50,125,20,145,8000
B4,50_25_B,50,50,125,20,145,8000
B5,100_25_B,50,50,125,20,145,8000
B6,200_25_B,50,50,25,20,45,8000
C1,50_20_C,50,50,125,20,145,8000
C2,100_20_C,50,50,125,20,145,8000
C3,200_20_C,50,50,125,20,145,8000
C4,50_25_C,50,50,125,20,145,8000
C5,100_25_C,50,50,125,20,145,8000
C6,200_25_C,50,50,125,20,145,8000
D1,50_20_D,50,50,125,20,145,10000
D2,100_20_D,50,50,125,20,145,8000
D3,200_20_D,50,50,125,20,145,8000
D4,50_25_D,50,50,125,20,145,8000
D5,100_25_D,50,50,125,20,145,8000
D6,200_25_D,50,50,100,20,120,8000
